rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
4,-1,A004970,KR7004970000,신라교역,11350,FALL,650,0.0541666667,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
4,-1,A004970,KR7004970000,신라교역,11350,FALL,650,0.0541666667,,False
5,0,A007540,KR7007540008,샘표,68500,UPPER_LIMIT,15800,0.2998102467,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
4,-1,A004970,KR7004970000,신라교역,11350,FALL,650,0.0541666667,,False
5,0,A007540,KR7007540008,샘표,68500,UPPER_LIMIT,15800,0.2998102467,,False
6,0,A005860,KR7005860002,한일사료,10500,RISE,2260,0.2742718447,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
4,-1,A004970,KR7004970000,신라교역,11350,FALL,650,0.0541666667,,False
5,0,A007540,KR7007540008,샘표,68500,UPPER_LIMIT,15800,0.2998102467,,False
6,0,A005860,KR7005860002,한일사료,10500,RISE,2260,0.2742718447,,False
7,0,A278650,KR7278650007,노터스,26600,FALL,10450,0.2820512821,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
4,-1,A004970,KR7004970000,신라교역,11350,FALL,650,0.0541666667,,False
5,0,A007540,KR7007540008,샘표,68500,UPPER_LIMIT,15800,0.2998102467,,False
6,0,A005860,KR7005860002,한일사료,10500,RISE,2260,0.2742718447,,False
7,0,A278650,KR7278650007,노터스,26600,FALL,10450,0.2820512821,,False
8,1,A068270,KR7068270008,셀트리온,158500,FALL,1000,0.0062695925,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
4,-1,A004970,KR7004970000,신라교역,11350,FALL,650,0.0541666667,,False
5,0,A007540,KR7007540008,샘표,68500,UPPER_LIMIT,15800,0.2998102467,,False
6,0,A005860,KR7005860002,한일사료,10500,RISE,2260,0.2742718447,,False
7,0,A278650,KR7278650007,노터스,26600,FALL,10450,0.2820512821,,False
8,1,A068270,KR7068270008,셀트리온,158500,FALL,1000,0.0062695925,,False
9,-1,A000660,KR7000660001,SK하이닉스,99000,FALL,4500,0.0434782609,,False
rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,76500,FALL,3600,0.0449438202,,False
2,0,A005930,KR7005930003,삼성전자,62100,FALL,1700,0.026645768,,False
3,1,A023150,KR7023150006,MH에탄올,9450,FALL,700,0.0689655172,,False
4,-1,A004970,KR7004970000,신라교역,11350,FALL,650,0.0541666667,,False
5,0,A007540,KR7007540008,샘표,68500,UPPER_LIMIT,15800,0.2998102467,,False
6,0,A005860,KR7005860002,한일사료,10500,RISE,2260,0.2742718447,,False
7,0,A278650,KR7278650007,노터스,26600,FALL,10450,0.2820512821,,False
8,1,A068270,KR7068270008,셀트리온,158500,FALL,1000,0.0062695925,,False
9,-1,A000660,KR7000660001,SK하이닉스,99000,FALL,4500,0.0434782609,,False
10,0,A118990,KR7118990001,모트렉스,20400,UPPER_LIMIT,4700,0.2993630573,,True
